best,mean
2940,2940.0
1392,2323.04
1392,1537.44
1392,1520.96
1392,1508.88
1392,1503.6
1392,1509.72
1392,1500.56
1392,1507.04
1392,1501.96
1392,1503.52
1386,1494.28
1376,1504.24
1376,1490.68
1376,1497.28
1376,1492.12
1376,1499.88
1376,1494.92
1376,1488.28
1376,1498.28
1376,1489.44
1376,1486.24
1374,1485.64
1374,1493.6
1374,1489.72
1374,1482.28
1374,1490.4
1370,1488.68
1370,1489.72
1370,1491.8
1370,1484.48
1370,1482.96
1370,1488.08
1370,1487.08
1370,1477.04
1370,1490.08
1370,1481.2
1370,1482.44
1366,1478.76
1366,1487.28
1366,1483.72
1366,1480.56
1366,1481.28
1364,1481.32
1364,1476.6
1364,1479.96
1364,1475.64
1364,1473.36
1364,1478.88
1364,1484.88
1364,1481.0
902,1234.24
902,1020.08
902,1006.88
898,992.84
898,994.76
898,994.44
886,981.04
886,983.04
886,986.6
886,983.92
886,986.24
886,981.4
886,984.68
886,984.4
882,983.68
882,982.16
882,976.36
882,978.32
882,977.88
882,978.12
882,977.12
882,976.92
882,973.64
882,973.12
882,973.56
882,973.8
882,978.96
882,980.16
882,971.84
882,979.0
880,975.08
880,975.96
880,973.6
880,974.24
880,974.24
880,970.08
880,974.68
880,972.6
880,971.16
880,978.44
878,976.0
878,971.6
878,968.8
878,974.84
878,970.08
878,980.36
878,970.96
878,972.04
878,973.76
878,970.16
680,852.36
678,766.72
678,756.24
678,749.32
654,744.24
654,743.76
654,748.24
654,735.04
654,733.16
648,729.48
648,730.88
648,728.76
648,727.64
648,725.44
648,729.8
648,729.12
648,719.76
648,731.04
648,728.16
648,725.28
648,720.84
648,725.4
648,726.76
648,728.92
648,725.12
648,723.8
648,728.6
648,723.36
648,721.92
646,729.32
646,727.24
644,727.8
644,722.28
644,730.88
644,726.56
644,732.08
644,725.08
644,723.96
644,720.92
644,729.76
644,726.0
644,726.28
644,719.32
644,719.68
644,720.88
644,720.2
644,726.6
644,721.56
644,725.36
636,713.0
532,647.68
532,614.68
532,595.96
532,597.56
532,589.44
530,591.08
530,590.32
530,585.16
530,585.84
530,593.32
530,596.88
526,582.44
526,595.0
526,585.32
508,581.36
508,586.8
508,581.56
508,587.16
508,585.0
508,578.8
508,586.76
508,583.4
488,576.12
488,579.88
488,577.12
488,576.52
488,576.76
488,575.52
486,573.32
486,573.08
486,577.12
486,574.0
486,575.2
486,575.72
486,573.56
486,572.56
486,572.6
486,569.96
486,573.32
486,577.12
486,573.6
486,573.72
486,571.96
486,575.8
486,572.72
486,570.0
486,569.84
486,574.36
486,570.36
486,572.2
450,524.4
444,505.6
422,497.72
422,488.6
422,484.32
422,486.44
422,488.52
422,483.64
404,484.2
404,480.6
404,487.6
404,477.16
404,479.56
404,481.64
404,480.68
404,481.6
404,477.6
404,475.52
404,482.16
404,479.04
404,482.16
404,479.92
404,480.72
404,472.52
404,475.0
404,476.68
404,476.68
404,470.44
404,476.28
404,470.76
404,472.64
404,472.64
404,477.84
404,470.92
404,470.16
404,472.4
404,473.68
404,471.56
404,476.92
404,474.32
398,475.44
398,474.64
398,472.48
398,470.36
398,477.16
398,472.84
398,472.6
398,472.04
398,475.24
398,467.52
376,440.04
376,432.48
368,427.92
368,425.12
368,422.08
368,420.84
364,420.28
364,410.72
360,410.92
360,412.72
360,411.52
360,408.84
338,411.92
338,413.44
338,412.0
338,401.88
338,408.32
338,414.28
338,406.8
338,406.64
338,408.36
338,404.36
338,409.12
338,400.6
338,403.44
338,406.12
338,408.56
338,405.52
338,403.92
338,401.96
338,404.68
338,409.68
338,406.28
338,402.96
338,406.4
338,401.84
338,401.24
336,403.0
336,401.2
336,400.16
336,399.56
336,404.2
336,401.36
336,407.12
336,402.2
336,405.2
336,405.12
336,401.48
336,406.8
336,404.48
328,374.0
302,371.48
302,372.56
302,368.24
302,365.36
302,361.2
302,363.56
302,359.72
302,365.16
302,361.8
302,364.6
302,356.6
302,361.52
302,359.08
302,358.28
302,360.88
302,361.28
302,354.24
302,359.56
302,358.04
296,358.08
296,353.48
294,355.56
294,355.28
294,352.64
294,358.28
294,355.68
294,354.56
294,351.68
294,354.24
294,358.32
294,357.52
294,351.56
294,353.16
294,353.76
294,349.36
294,351.0
294,355.24
294,350.92
294,352.4
294,347.8
294,349.92
288,351.32
288,350.64
288,352.0
288,347.8
288,350.4
288,356.0
288,349.8
288,351.88
288,329.2
288,330.96
282,324.2
282,325.88
282,328.76
268,322.56
268,326.76
268,321.68
268,323.2
268,326.48
268,319.44
268,325.64
268,316.88
268,314.72
268,320.4
268,315.36
266,317.48
266,320.96
266,318.84
266,315.4
266,316.44
266,316.76
266,314.84
266,315.32
266,310.28
266,315.72
266,315.32
266,313.88
266,311.44
266,317.64
262,311.08
262,311.36
262,314.96
262,312.56
262,309.72
262,308.96
262,314.6
262,313.24
262,316.92
262,310.96
262,311.64
262,308.6
262,307.44
262,312.08
262,311.96
262,307.24
262,308.84
262,313.48
262,311.16
262,309.16
250,293.56
250,295.32
250,296.04
248,288.04
234,289.52
234,284.44
234,289.24
234,284.0
232,282.08
232,280.0
232,283.44
232,282.64
232,282.92
232,279.52
232,280.52
232,282.72
232,280.2
232,275.08
232,278.04
232,282.12
232,281.84
232,279.0
232,277.88
232,276.28
232,283.92
232,279.68
232,277.16
232,278.84
232,281.96
232,281.76
232,279.88
232,275.48
232,273.8
232,276.76
232,275.8
232,278.56
232,273.08
232,278.24
232,276.32
232,277.36
224,271.16
224,277.08
224,277.16
224,277.92
224,274.4
224,270.52
224,276.24
224,276.68
224,272.52
224,272.48
224,258.2
210,262.68
210,262.92
210,254.32
210,256.96
210,261.52
210,258.36
210,258.92
210,255.56
210,256.04
210,255.0
210,255.36
210,253.8
208,253.32
208,257.76
208,254.28
208,253.04
208,257.72
208,255.8
208,252.16
208,250.8
208,251.4
208,252.68
208,250.88
208,255.84
206,251.04
206,252.52
206,247.68
206,250.16
206,251.96
206,249.32
206,254.8
206,251.48
194,251.28
194,251.24
194,252.8
194,246.68
194,252.04
194,251.92
194,248.6
194,252.0
194,244.92
194,247.68
194,247.4
194,244.72
194,247.36
