best,mean
580,580.0
262,456.96
254,299.56
254,294.24
254,293.44
254,290.08
254,293.08
248,288.96
248,288.68
248,287.28
248,284.28
248,286.88
248,284.2
248,284.72
248,284.76
248,285.88
248,285.16
248,285.2
248,287.88
248,285.28
248,285.24
248,285.84
248,286.8
248,287.12
248,282.96
248,284.48
248,281.76
246,283.88
246,283.4
246,287.48
246,283.88
246,283.08
246,283.2
246,283.84
246,283.64
246,282.28
246,281.72
246,283.6
246,282.44
246,284.64
246,283.36
246,283.08
246,282.52
246,283.36
246,283.48
246,280.36
246,285.8
246,281.4
246,282.12
246,281.96
246,284.92
168,232.36
168,199.76
166,198.92
156,192.08
156,191.32
156,193.52
156,191.36
156,190.96
156,189.24
156,190.2
156,189.6
156,188.52
156,186.52
156,187.04
156,188.4
154,185.48
154,186.68
154,186.24
152,186.32
152,185.12
152,185.56
152,184.84
152,183.92
152,185.44
152,183.56
152,184.04
152,186.76
152,183.2
152,183.88
152,182.04
152,184.12
152,185.28
152,182.16
152,185.56
152,183.88
152,183.88
152,181.8
152,181.6
152,182.76
152,182.88
152,183.08
152,182.0
152,183.88
152,180.8
152,181.28
152,180.76
152,181.68
152,181.4
152,181.2
152,184.84
120,157.12
116,149.36
116,143.2
116,141.28
114,141.36
110,139.12
110,138.68
110,140.56
110,138.24
110,140.16
110,139.28
110,135.68
110,137.32
108,136.52
108,137.04
108,135.4
108,139.36
108,136.4
108,136.56
108,133.8
108,137.24
108,135.52
108,137.56
108,133.84
108,135.8
108,135.4
108,137.16
108,133.84
108,134.36
108,134.08
108,134.48
108,136.04
108,135.8
108,133.96
108,135.92
108,134.24
108,133.44
108,131.72
108,134.96
106,136.36
106,130.36
106,131.4
106,132.76
106,136.2
106,134.56
106,134.6
106,131.64
106,133.72
106,131.72
106,133.84
96,118.48
92,116.92
92,113.76
92,111.84
78,111.6
78,111.2
78,108.24
78,109.2
78,108.48
78,108.16
78,108.44
76,108.12
76,105.08
76,106.04
76,104.56
76,107.24
76,106.36
76,105.76
76,104.68
76,105.84
76,107.56
76,103.44
76,104.84
76,101.6
76,102.8
76,104.52
76,104.16
76,106.12
76,104.8
76,105.08
76,104.8
76,103.84
76,103.64
76,103.4
76,102.68
76,102.88
76,106.04
76,102.56
76,103.36
76,101.2
76,101.72
76,103.28
76,100.64
76,100.96
76,103.92
76,103.32
76,102.76
76,102.2
76,100.96
76,101.2
66,91.92
66,93.12
66,91.32
66,90.84
66,90.88
66,89.88
66,89.2
66,89.8
62,87.24
62,88.32
62,90.32
62,88.28
62,90.4
62,88.44
62,88.44
62,87.76
62,88.8
62,89.4
62,86.32
62,85.72
62,86.04
62,87.64
62,87.48
62,83.72
62,87.72
62,87.64
62,84.68
62,84.88
62,86.28
62,87.24
62,85.84
62,84.36
62,85.76
62,85.96
62,86.4
62,86.24
62,86.84
62,85.56
62,86.0
62,87.12
62,85.08
62,85.64
62,86.16
62,84.44
62,85.72
62,85.04
62,82.6
62,85.28
62,84.04
62,86.32
62,78.0
62,79.72
60,76.52
60,78.08
60,74.2
60,76.32
48,75.88
48,74.52
48,74.08
48,77.36
48,74.52
48,73.64
48,74.92
48,74.84
48,75.32
48,72.68
48,73.6
48,72.88
48,73.0
48,74.28
48,73.16
48,71.52
48,71.16
48,72.04
48,69.92
48,73.04
48,70.48
48,70.76
48,71.12
48,73.36
48,70.32
48,72.0
48,73.08
48,75.44
48,72.56
48,72.28
48,71.68
48,71.4
48,71.92
48,70.16
48,69.16
48,72.36
48,72.2
48,71.6
48,70.2
48,70.32
48,67.96
48,69.92
48,69.16
48,69.44
48,66.16
48,65.48
48,64.76
48,64.12
46,63.36
44,64.52
44,62.96
44,61.84
44,64.8
44,62.52
44,65.28
44,62.24
40,62.32
40,62.12
40,61.56
40,61.76
36,61.52
36,60.8
36,62.4
36,61.44
36,62.68
36,61.4
36,60.08
36,59.44
36,62.28
36,59.84
36,62.16
36,60.96
36,61.48
36,60.16
36,62.0
36,61.56
36,58.96
36,62.24
36,60.68
36,61.96
36,59.92
36,59.32
36,61.36
36,59.4
36,61.88
36,59.96
36,59.56
36,60.0
36,59.44
36,60.28
36,59.8
36,58.0
36,58.16
36,60.32
36,53.96
36,57.12
36,54.72
36,53.68
36,54.6
36,55.08
36,53.8
34,55.64
34,54.96
32,53.64
32,52.88
32,50.72
32,54.4
32,51.56
32,52.32
32,54.96
32,52.96
28,53.44
28,52.32
28,51.8
28,52.12
28,53.96
28,52.76
28,54.36
28,53.56
28,51.4
28,52.12
28,54.6
28,51.52
28,53.44
28,52.72
28,52.28
28,53.76
28,50.32
28,52.84
28,52.2
28,53.92
28,51.24
26,50.6
26,52.28
26,54.24
26,51.88
26,52.6
26,52.72
26,50.28
26,51.24
26,50.88
26,49.84
26,52.12
26,50.2
26,47.32
26,47.84
26,46.88
26,47.12
26,47.12
26,45.92
26,47.8
26,45.32
26,46.76
26,46.24
26,47.72
26,45.04
24,44.04
24,45.48
24,45.12
24,47.48
24,46.64
24,46.44
24,44.92
24,44.68
24,47.16
24,44.92
22,44.64
22,42.96
22,45.12
18,44.88
18,43.56
18,43.4
18,45.44
18,43.76
18,45.08
18,44.16
18,45.24
18,41.88
18,45.44
18,43.8
18,45.64
18,42.56
18,42.68
18,42.8
18,43.12
18,42.56
18,43.12
18,42.52
18,40.6
18,43.12
18,43.16
18,41.88
16,40.96
16,40.32
16,40.36
16,38.92
16,40.64
16,39.36
16,40.88
16,40.56
16,40.88
12,39.32
12,40.48
12,39.16
12,38.96
12,38.28
12,41.84
12,40.76
12,39.32
12,38.84
12,39.2
12,38.4
12,37.32
12,38.6
12,38.56
12,39.0
12,38.48
12,40.48
10,37.72
10,37.64
10,39.32
10,37.16
10,39.6
10,36.96
10,39.8
10,38.24
10,38.6
10,38.2
10,36.96
10,38.04
10,37.6
10,38.16
10,38.08
10,39.68
10,38.12
10,37.8
10,39.04
10,37.88
10,39.0
10,38.52
10,38.92
10,37.8
10,38.08
10,37.44
10,36.12
10,35.56
10,36.32
10,35.36
10,36.04
10,36.4
10,35.16
10,34.72
10,36.24
10,35.6
10,36.64
10,35.8
10,33.92
10,36.08
10,35.08
10,36.08
10,35.08
10,32.72
10,34.88
10,32.96
10,35.08
10,35.4
10,34.4
10,33.72
10,35.44
10,35.08
10,34.72
8,35.44
8,33.8
8,33.88
8,33.48
8,35.0
8,34.16
8,34.48
8,34.24
8,33.72
8,33.68
8,34.4
8,35.0
8,34.36
8,33.64
8,33.08
8,32.32
8,32.92
8,34.48
8,32.48
8,33.88
8,33.32
8,32.24
2,32.32
2,35.36
2,32.4
2,32.56
2,32.68
2,32.16
2,30.76
2,33.08
2,34.88
2,30.2
2,33.32
2,33.64
2,33.36
2,31.2
2,33.12
2,33.32
2,32.72
2,33.0
2,32.64
2,33.32
2,31.08
2,31.68
2,33.0
2,32.28
2,31.92
2,31.92
2,32.6
2,32.8
2,30.32
2,33.16
2,32.12
2,31.2
2,32.48
2,30.8
