data;
param V := 212;
param E := 
0 1 1
0 3 1
0 13 1
0 15 1
0 53 1
0 55 1
0 65 1
0 67 1
1 2 1
1 12 1
1 14 1
1 52 1
1 54 1
1 64 1
1 66 1
2 5 1
2 9 1
2 13 1
2 17 1
2 21 1
2 53 1
2 57 1
2 61 1
2 65 1
2 69 1
2 73 1
3 4 1
3 9 1
3 12 1
3 16 1
3 21 1
3 52 1
3 56 1
3 61 1
3 64 1
3 68 1
3 73 1
4 7 1
4 10 1
4 15 1
4 19 1
4 22 1
4 55 1
4 59 1
4 62 1
4 67 1
4 71 1
4 74 1
5 6 1
5 10 1
5 14 1
5 18 1
5 22 1
5 54 1
5 58 1
5 62 1
5 66 1
5 70 1
5 74 1
6 8 1
6 11 1
6 17 1
6 20 1
6 23 1
6 57 1
6 60 1
6 63 1
6 69 1
6 72 1
6 75 1
7 8 1
7 11 1
7 16 1
7 20 1
7 23 1
7 56 1
7 60 1
7 63 1
7 68 1
7 72 1
7 75 1
8 9 1
8 10 1
8 11 1
8 18 1
8 19 1
8 21 1
8 22 1
8 23 1
8 58 1
8 59 1
8 61 1
8 62 1
8 63 1
8 70 1
8 71 1
8 73 1
8 74 1
8 75 1
9 10 1
9 11 1
9 14 1
9 15 1
9 20 1
9 22 1
9 23 1
9 54 1
9 55 1
9 60 1
9 62 1
9 63 1
9 66 1
9 67 1
9 72 1
9 74 1
9 75 1
10 11 1
10 16 1
10 17 1
10 20 1
10 21 1
10 23 1
10 56 1
10 57 1
10 60 1
10 61 1
10 63 1
10 68 1
10 69 1
10 72 1
10 73 1
10 75 1
11 18 1
11 19 1
11 20 1
11 21 1
11 22 1
11 58 1
11 59 1
11 60 1
11 61 1
11 62 1
11 70 1
11 71 1
11 72 1
11 73 1
11 74 1
12 25 1
12 27 1
12 49 1
12 53 1
12 55 1
12 77 1
12 79 1
12 101 1
13 24 1
13 26 1
13 49 1
13 52 1
13 54 1
13 76 1
13 78 1
13 101 1
14 25 1
14 29 1
14 33 1
14 49 1
14 53 1
14 57 1
14 61 1
14 77 1
14 81 1
14 85 1
14 101 1
15 24 1
15 28 1
15 33 1
15 49 1
15 52 1
15 56 1
15 61 1
15 76 1
15 80 1
15 85 1
15 101 1
16 27 1
16 31 1
16 34 1
16 49 1
16 55 1
16 59 1
16 62 1
16 79 1
16 83 1
16 86 1
16 101 1
17 26 1
17 30 1
17 34 1
17 49 1
17 54 1
17 58 1
17 62 1
17 78 1
17 82 1
17 86 1
17 101 1
18 29 1
18 32 1
18 35 1
18 49 1
18 57 1
18 60 1
18 63 1
18 81 1
18 84 1
18 87 1
18 101 1
19 28 1
19 32 1
19 35 1
19 49 1
19 56 1
19 60 1
19 63 1
19 80 1
19 84 1
19 87 1
19 101 1
20 30 1
20 31 1
20 33 1
20 34 1
20 35 1
20 49 1
20 58 1
20 59 1
20 61 1
20 62 1
20 63 1
20 82 1
20 83 1
20 85 1
20 86 1
20 87 1
20 101 1
21 26 1
21 27 1
21 32 1
21 34 1
21 35 1
21 49 1
21 54 1
21 55 1
21 60 1
21 62 1
21 63 1
21 78 1
21 79 1
21 84 1
21 86 1
21 87 1
21 101 1
22 28 1
22 29 1
22 32 1
22 33 1
22 35 1
22 49 1
22 56 1
22 57 1
22 60 1
22 61 1
22 63 1
22 80 1
22 81 1
22 84 1
22 85 1
22 87 1
22 101 1
23 30 1
23 31 1
23 32 1
23 33 1
23 34 1
23 49 1
23 58 1
23 59 1
23 60 1
23 61 1
23 62 1
23 82 1
23 83 1
23 84 1
23 85 1
23 86 1
23 101 1
24 37 1
24 39 1
24 50 1
24 65 1
24 67 1
24 89 1
24 91 1
24 102 1
25 36 1
25 38 1
25 50 1
25 64 1
25 66 1
25 88 1
25 90 1
25 102 1
26 37 1
26 41 1
26 45 1
26 50 1
26 65 1
26 69 1
26 73 1
26 89 1
26 93 1
26 97 1
26 102 1
27 36 1
27 40 1
27 45 1
27 50 1
27 64 1
27 68 1
27 73 1
27 88 1
27 92 1
27 97 1
27 102 1
28 39 1
28 43 1
28 46 1
28 50 1
28 67 1
28 71 1
28 74 1
28 91 1
28 95 1
28 98 1
28 102 1
29 38 1
29 42 1
29 46 1
29 50 1
29 66 1
29 70 1
29 74 1
29 90 1
29 94 1
29 98 1
29 102 1
30 41 1
30 44 1
30 47 1
30 50 1
30 69 1
30 72 1
30 75 1
30 93 1
30 96 1
30 99 1
30 102 1
31 40 1
31 44 1
31 47 1
31 50 1
31 68 1
31 72 1
31 75 1
31 92 1
31 96 1
31 99 1
31 102 1
32 42 1
32 43 1
32 45 1
32 46 1
32 47 1
32 50 1
32 70 1
32 71 1
32 73 1
32 74 1
32 75 1
32 94 1
32 95 1
32 97 1
32 98 1
32 99 1
32 102 1
33 38 1
33 39 1
33 44 1
33 46 1
33 47 1
33 50 1
33 66 1
33 67 1
33 72 1
33 74 1
33 75 1
33 90 1
33 91 1
33 96 1
33 98 1
33 99 1
33 102 1
34 40 1
34 41 1
34 44 1
34 45 1
34 47 1
34 50 1
34 68 1
34 69 1
34 72 1
34 73 1
34 75 1
34 92 1
34 93 1
34 96 1
34 97 1
34 99 1
34 102 1
35 42 1
35 43 1
35 44 1
35 45 1
35 46 1
35 50 1
35 70 1
35 71 1
35 72 1
35 73 1
35 74 1
35 94 1
35 95 1
35 96 1
35 97 1
35 98 1
35 102 1
36 48 1
36 51 1
36 77 1
36 79 1
36 100 1
36 103 1
37 48 1
37 51 1
37 76 1
37 78 1
37 100 1
37 103 1
38 48 1
38 51 1
38 77 1
38 81 1
38 85 1
38 100 1
38 103 1
39 48 1
39 51 1
39 76 1
39 80 1
39 85 1
39 100 1
39 103 1
40 48 1
40 51 1
40 79 1
40 83 1
40 86 1
40 100 1
40 103 1
41 48 1
41 51 1
41 78 1
41 82 1
41 86 1
41 100 1
41 103 1
42 48 1
42 51 1
42 81 1
42 84 1
42 87 1
42 100 1
42 103 1
43 48 1
43 51 1
43 80 1
43 84 1
43 87 1
43 100 1
43 103 1
44 48 1
44 51 1
44 82 1
44 83 1
44 85 1
44 86 1
44 87 1
44 100 1
44 103 1
45 48 1
45 51 1
45 78 1
45 79 1
45 84 1
45 86 1
45 87 1
45 100 1
45 103 1
46 48 1
46 51 1
46 80 1
46 81 1
46 84 1
46 85 1
46 87 1
46 100 1
46 103 1
47 48 1
47 51 1
47 82 1
47 83 1
47 84 1
47 85 1
47 86 1
47 100 1
47 103 1
48 49 1
48 50 1
48 51 1
48 88 1
48 89 1
48 90 1
48 91 1
48 92 1
48 93 1
48 94 1
48 95 1
48 96 1
48 97 1
48 98 1
48 99 1
48 101 1
48 102 1
48 103 1
49 50 1
49 51 1
49 64 1
49 65 1
49 66 1
49 67 1
49 68 1
49 69 1
49 70 1
49 71 1
49 72 1
49 73 1
49 74 1
49 75 1
49 100 1
49 102 1
49 103 1
50 51 1
50 76 1
50 77 1
50 78 1
50 79 1
50 80 1
50 81 1
50 82 1
50 83 1
50 84 1
50 85 1
50 86 1
50 87 1
50 100 1
50 101 1
50 103 1
51 88 1
51 89 1
51 90 1
51 91 1
51 92 1
51 93 1
51 94 1
51 95 1
51 96 1
51 97 1
51 98 1
51 99 1
51 100 1
51 101 1
51 102 1
52 105 1
52 107 1
52 117 1
52 119 1
52 209 1
53 104 1
53 106 1
53 116 1
53 118 1
53 209 1
54 105 1
54 109 1
54 113 1
54 117 1
54 121 1
54 125 1
54 209 1
55 104 1
55 108 1
55 113 1
55 116 1
55 120 1
55 125 1
55 209 1
56 107 1
56 111 1
56 114 1
56 119 1
56 123 1
56 126 1
56 209 1
57 106 1
57 110 1
57 114 1
57 118 1
57 122 1
57 126 1
57 209 1
58 109 1
58 112 1
58 115 1
58 121 1
58 124 1
58 127 1
58 209 1
59 108 1
59 112 1
59 115 1
59 120 1
59 124 1
59 127 1
59 209 1
60 110 1
60 111 1
60 113 1
60 114 1
60 115 1
60 122 1
60 123 1
60 125 1
60 126 1
60 127 1
60 209 1
61 106 1
61 107 1
61 112 1
61 114 1
61 115 1
61 118 1
61 119 1
61 124 1
61 126 1
61 127 1
61 209 1
62 108 1
62 109 1
62 112 1
62 113 1
62 115 1
62 120 1
62 121 1
62 124 1
62 125 1
62 127 1
62 209 1
63 110 1
63 111 1
63 112 1
63 113 1
63 114 1
63 122 1
63 123 1
63 124 1
63 125 1
63 126 1
63 209 1
64 105 1
64 107 1
64 129 1
64 131 1
64 153 1
64 209 1
65 104 1
65 106 1
65 128 1
65 130 1
65 153 1
65 209 1
66 105 1
66 109 1
66 113 1
66 129 1
66 133 1
