data;
param V := 169;
param E := 
0 14 1
0 28 1
0 42 1
0 56 1
0 70 1
0 84 1
0 98 1
0 112 1
0 126 1
0 140 1
0 154 1
0 168 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 26 1
0 39 1
0 52 1
0 65 1
0 78 1
0 91 1
0 104 1
0 117 1
0 130 1
0 143 1
0 156 1
1 15 1
1 29 1
1 43 1
1 57 1
1 71 1
1 85 1
1 99 1
1 113 1
1 127 1
1 141 1
1 155 1
1 13 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 14 1
1 27 1
1 40 1
1 53 1
1 66 1
1 79 1
1 92 1
1 105 1
1 118 1
1 131 1
1 144 1
1 157 1
1 0 1
2 16 1
2 30 1
2 44 1
2 58 1
2 72 1
2 86 1
2 100 1
2 114 1
2 128 1
2 142 1
2 14 1
2 26 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 15 1
2 28 1
2 41 1
2 54 1
2 67 1
2 80 1
2 93 1
2 106 1
2 119 1
2 132 1
2 145 1
2 158 1
2 1 1
2 0 1
3 17 1
3 31 1
3 45 1
3 59 1
3 73 1
3 87 1
3 101 1
3 115 1
3 129 1
3 15 1
3 27 1
3 39 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 16 1
3 29 1
3 42 1
3 55 1
3 68 1
3 81 1
3 94 1
3 107 1
3 120 1
3 133 1
3 146 1
3 159 1
3 2 1
3 1 1
3 0 1
4 18 1
4 32 1
4 46 1
4 60 1
4 74 1
4 88 1
4 102 1
4 116 1
4 16 1
4 28 1
4 40 1
4 52 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 17 1
4 30 1
4 43 1
4 56 1
4 69 1
4 82 1
4 95 1
4 108 1
4 121 1
4 134 1
4 147 1
4 160 1
4 3 1
4 2 1
4 1 1
4 0 1
5 19 1
5 33 1
5 47 1
5 61 1
5 75 1
5 89 1
5 103 1
5 17 1
5 29 1
5 41 1
5 53 1
5 65 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
5 18 1
5 31 1
5 44 1
5 57 1
5 70 1
5 83 1
5 96 1
5 109 1
5 122 1
5 135 1
5 148 1
5 161 1
5 4 1
5 3 1
5 2 1
5 1 1
5 0 1
6 20 1
6 34 1
6 48 1
6 62 1
6 76 1
6 90 1
6 18 1
6 30 1
6 42 1
6 54 1
6 66 1
6 78 1
6 7 1
6 8 1
6 9 1
6 10 1
6 11 1
6 12 1
6 19 1
6 32 1
6 45 1
6 58 1
6 71 1
6 84 1
6 97 1
6 110 1
6 123 1
6 136 1
6 149 1
6 162 1
6 5 1
6 4 1
6 3 1
6 2 1
6 1 1
6 0 1
7 21 1
