data;
param V := 36;
param E := 
0 7 1
0 14 1
0 21 1
0 28 1
0 35 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 12 1
0 18 1
0 24 1
0 30 1
1 8 1
1 15 1
1 22 1
1 29 1
1 6 1
1 2 1
1 3 1
1 4 1
1 5 1
1 7 1
1 13 1
1 19 1
1 25 1
1 31 1
1 0 1
2 9 1
2 16 1
2 23 1
2 7 1
2 12 1
2 3 1
2 4 1
2 5 1
2 8 1
2 14 1
2 20 1
2 26 1
2 32 1
2 1 1
2 0 1
3 10 1
3 17 1
3 8 1
3 13 1
3 18 1
3 4 1
3 5 1
3 9 1
3 15 1
3 21 1
3 27 1
3 33 1
3 2 1
3 1 1
3 0 1
4 11 1
4 9 1
4 14 1
4 19 1
4 24 1
4 5 1
4 10 1
4 16 1
4 22 1
4 28 1
4 34 1
4 3 1
4 2 1
4 1 1
4 0 1
5 10 1
5 15 1
5 20 1
5 25 1
5 30 1
5 11 1
5 17 1
5 23 1
5 29 1
5 35 1
5 4 1
5 3 1
5 2 1
5 1 1
5 0 1
6 13 1
6 20 1
6 27 1
6 34 1
6 7 1
6 8 1
6 9 1
6 10 1
6 11 1
6 12 1
6 18 1
6 24 1
6 30 1
6 1 1
6 0 1
7 14 1
7 21 1
7 28 1
7 35 1
7 12 1
7 8 1
7 9 1
7 10 1
7 11 1
7 13 1
7 19 1
7 25 1
7 31 1
7 6 1
7 2 1
7 1 1
7 0 1
8 15 1
8 22 1
8 29 1
8 13 1
8 18 1
8 9 1
8 10 1
8 11 1
8 14 1
8 20 1
8 26 1
8 32 1
8 7 1
8 6 1
8 3 1
8 2 1
8 1 1
9 16 1
9 23 1
9 14 1
9 19 1
9 24 1
9 10 1
9 11 1
9 15 1
9 21 1
9 27 1
9 33 1
9 8 1
9 7 1
9 6 1
9 4 1
9 3 1
9 2 1
10 17 1
10 15 1
10 20 1
10 25 1
10 30 1
10 11 1
10 16 1
10 22 1
10 28 1
10 34 1
10 9 1
10 8 1
10 7 1
10 6 1
10 5 1
10 4 1
10 3 1
11 16 1
11 21 1
11 26 1
11 31 1
11 17 1
11 23 1
11 29 1
11 35 1
11 10 1
11 9 1
11 8 1
11 7 1
11 6 1
11 5 1
11 4 1
12 19 1
12 26 1
12 33 1
12 13 1
12 14 1
12 15 1
12 16 1
12 17 1
12 18 1
12 24 1
12 30 1
12 7 1
12 6 1
12 2 1
12 0 1
13 20 1
13 27 1
13 34 1
13 18 1
13 14 1
13 15 1
13 16 1
13 17 1
13 19 1
13 25 1
13 31 1
13 12 1
13 8 1
13 7 1
13 6 1
13 3 1
13 1 1
14 21 1
14 28 1
14 35 1
14 19 1
14 24 1
14 15 1
14 16 1
14 17 1
14 20 1
14 26 1
14 32 1
14 13 1
14 12 1
14 9 1
14 8 1
14 7 1
14 4 1
14 2 1
14 0 1
15 22 1
15 29 1
15 20 1
15 25 1
15 30 1
15 16 1
15 17 1
15 21 1
15 27 1
15 33 1
15 14 1
15 13 1
15 12 1
15 10 1
15 9 1
15 8 1
15 5 1
15 3 1
15 1 1
16 23 1
16 21 1
16 26 1
16 31 1
16 17 1
16 22 1
16 28 1
16 34 1
16 15 1
16 14 1
16 13 1
16 12 1
16 11 1
16 10 1
16 9 1
16 4 1
16 2 1
17 22 1
17 27 1
17 32 1
17 23 1
17 29 1
17 35 1
17 16 1
17 15 1
17 14 1
17 13 1
17 12 1
17 11 1
17 10 1
17 5 1
17 3 1
18 25 1
18 32 1
18 19 1
18 20 1
18 21 1
18 22 1
18 23 1
18 24 1
18 30 1
18 13 1
18 12 1
18 8 1
18 6 1
18 3 1
18 0 1
19 26 1
19 33 1
19 24 1
19 20 1
19 21 1
19 22 1
19 23 1
19 25 1
19 31 1
19 18 1
19 14 1
19 13 1
19 12 1
19 9 1
19 7 1
19 4 1
19 1 1
20 27 1
20 34 1
20 25 1
20 30 1
20 21 1
20 22 1
20 23 1
20 26 1
20 32 1
20 19 1
20 18 1
20 15 1
20 14 1
20 13 1
20 10 1
20 8 1
20 6 1
20 5 1
20 2 1
21 28 1
21 35 1
21 26 1
21 31 1
21 22 1
21 23 1
21 27 1
21 33 1
21 20 1
21 19 1
21 18 1
21 16 1
21 15 1
21 14 1
21 11 1
21 9 1
21 7 1
21 3 1
21 0 1
22 29 1
22 27 1
22 32 1
22 23 1
22 28 1
22 34 1
22 21 1
22 20 1
22 19 1
22 18 1
22 17 1
22 16 1
22 15 1
22 10 1
22 8 1
22 4 1
22 1 1
23 28 1
23 33 1
23 29 1
23 35 1
23 22 1
23 21 1
23 20 1
23 19 1
23 18 1
23 17 1
23 16 1
23 11 1
23 9 1
23 5 1
23 2 1
24 31 1
24 25 1
24 26 1
24 27 1
24 28 1
24 29 1
24 30 1
24 19 1
24 18 1
24 14 1
24 12 1
24 9 1
24 6 1
24 4 1
24 0 1
25 32 1
25 30 1
25 26 1
25 27 1
25 28 1
25 29 1
25 31 1
25 24 1
25 20 1
25 19 1
25 18 1
25 15 1
25 13 1
25 10 1
25 7 1
25 5 1
25 1 1
26 33 1
26 31 1
26 27 1
26 28 1
26 29 1
26 32 1
26 25 1
26 24 1
26 21 1
26 20 1
26 19 1
26 16 1
26 14 1
26 12 1
26 11 1
26 8 1
26 2 1
27 34 1
27 32 1
27 28 1
27 29 1
27 33 1
27 26 1
27 25 1
27 24 1
27 22 1
27 21 1
27 20 1
27 17 1
27 15 1
27 13 1
27 9 1
27 6 1
27 3 1
28 35 1
28 33 1
28 29 1
28 34 1
28 27 1
28 26 1
28 25 1
28 24 1
28 23 1
28 22 1
28 21 1
28 16 1
28 14 1
28 10 1
28 7 1
28 4 1
28 0 1
29 34 1
29 35 1
29 28 1
29 27 1
29 26 1
29 25 1
29 24 1
29 23 1
29 22 1
29 17 1
29 15 1
29 11 1
29 8 1
29 5 1
29 1 1
30 31 1
30 32 1
30 33 1
30 34 1
30 35 1
30 25 1
30 24 1
30 20 1
30 18 1
30 15 1
30 12 1
30 10 1
30 6 1
30 5 1
30 0 1
31 32 1
31 33 1
31 34 1
31 35 1
31 30 1
31 26 1
31 25 1
31 24 1
31 21 1
31 19 1
31 16 1
31 13 1
31 11 1
31 7 1
31 1 1
32 33 1
32 34 1
32 35 1
32 31 1
32 30 1
32 27 1
32 26 1
32 25 1
32 22 1
32 20 1
32 18 1
32 17 1
32 14 1
32 8 1
32 2 1
33 34 1
33 35 1
33 32 1
33 31 1
33 30 1
33 28 1
33 27 1
33 26 1
33 23 1
33 21 1
33 19 1
33 15 1
33 12 1
33 9 1
33 3 1
34 35 1
34 33 1
34 32 1
34 31 1
34 30 1
34 29 1
34 28 1
34 27 1
34 22 1
34 20 1
34 16 1
34 13 1
34 10 1
34 6 1
34 4 1
