data;
param V := 154;
param E := 
0 1 1
0 3 1
0 22 1
0 24 1
1 2 1
1 21 1
1 23 1
2 5 1
2 15 1
2 22 1
2 26 1
2 36 1
3 4 1
3 15 1
3 21 1
3 25 1
3 36 1
4 7 1
4 16 1
4 24 1
4 28 1
4 37 1
5 6 1
5 16 1
5 23 1
5 27 1
5 37 1
6 9 1
6 17 1
6 26 1
6 30 1
6 38 1
7 8 1
7 17 1
7 25 1
7 29 1
7 38 1
8 11 1
8 18 1
8 28 1
8 32 1
8 39 1
9 10 1
9 18 1
9 27 1
9 31 1
9 39 1
10 13 1
10 19 1
10 30 1
10 34 1
10 40 1
11 12 1
11 19 1
11 29 1
11 33 1
11 40 1
12 14 1
12 20 1
12 32 1
12 35 1
12 41 1
13 14 1
13 20 1
13 31 1
13 35 1
13 41 1
14 15 1
14 16 1
14 17 1
14 18 1
14 19 1
14 20 1
14 33 1
14 34 1
14 36 1
14 37 1
14 38 1
14 39 1
14 40 1
14 41 1
15 16 1
15 17 1
15 18 1
15 19 1
15 20 1
15 23 1
15 24 1
15 35 1
15 37 1
15 38 1
15 39 1
15 40 1
15 41 1
16 17 1
16 18 1
16 19 1
16 20 1
16 25 1
16 26 1
16 35 1
16 36 1
16 38 1
16 39 1
16 40 1
16 41 1
17 18 1
17 19 1
17 20 1
17 27 1
17 28 1
17 35 1
17 36 1
17 37 1
17 39 1
17 40 1
17 41 1
18 19 1
18 20 1
18 29 1
18 30 1
18 35 1
18 36 1
18 37 1
18 38 1
18 40 1
18 41 1
19 20 1
19 31 1
19 32 1
19 35 1
19 36 1
19 37 1
19 38 1
19 39 1
19 41 1
20 33 1
20 34 1
20 35 1
20 36 1
20 37 1
20 38 1
20 39 1
20 40 1
21 43 1
21 45 1
21 148 1
22 42 1
22 44 1
22 148 1
23 43 1
23 47 1
23 57 1
23 148 1
24 42 1
24 46 1
24 57 1
24 148 1
25 45 1
25 49 1
25 58 1
25 148 1
26 44 1
26 48 1
26 58 1
26 148 1
27 47 1
27 51 1
27 59 1
27 148 1
28 46 1
28 50 1
28 59 1
28 148 1
29 49 1
29 53 1
29 60 1
29 148 1
30 48 1
30 52 1
30 60 1
30 148 1
31 51 1
31 55 1
31 61 1
31 148 1
32 50 1
32 54 1
32 61 1
32 148 1
33 53 1
33 56 1
33 62 1
33 148 1
34 52 1
34 56 1
34 62 1
34 148 1
35 54 1
35 55 1
35 57 1
35 58 1
35 59 1
35 60 1
35 61 1
35 62 1
35 148 1
36 44 1
36 45 1
36 56 1
36 58 1
36 59 1
36 60 1
36 61 1
36 62 1
36 148 1
37 46 1
37 47 1
37 56 1
37 57 1
37 59 1
37 60 1
37 61 1
37 62 1
37 148 1
38 48 1
38 49 1
38 56 1
38 57 1
38 58 1
38 60 1
38 61 1
38 62 1
38 148 1
39 50 1
39 51 1
39 56 1
39 57 1
39 58 1
39 59 1
39 61 1
39 62 1
39 148 1
40 52 1
40 53 1
40 56 1
40 57 1
40 58 1
40 59 1
40 60 1
40 62 1
40 148 1
41 54 1
41 55 1
41 56 1
41 57 1
41 58 1
41 59 1
41 60 1
41 61 1
41 148 1
42 64 1
42 66 1
42 149 1
43 63 1
43 65 1
43 149 1
44 64 1
44 68 1
44 78 1
44 149 1
45 63 1
45 67 1
45 78 1
45 149 1
46 66 1
46 70 1
46 79 1
46 149 1
47 65 1
47 69 1
47 79 1
47 149 1
48 68 1
48 72 1
48 80 1
48 149 1
49 67 1
49 71 1
49 80 1
49 149 1
50 70 1
50 74 1
50 81 1
50 149 1
51 69 1
51 73 1
51 81 1
51 149 1
52 72 1
52 76 1
52 82 1
52 149 1
53 71 1
53 75 1
53 82 1
53 149 1
54 74 1
54 77 1
54 83 1
54 149 1
55 73 1
55 77 1
55 83 1
55 149 1
56 75 1
56 76 1
56 78 1
56 79 1
56 80 1
56 81 1
56 82 1
56 83 1
56 149 1
57 65 1
57 66 1
57 77 1
57 79 1
57 80 1
57 81 1
57 82 1
57 83 1
57 149 1
58 67 1
58 68 1
58 77 1
58 78 1
58 80 1
58 81 1
58 82 1
58 83 1
58 149 1
59 69 1
59 70 1
59 77 1
59 78 1
59 79 1
59 81 1
59 82 1
59 83 1
59 149 1
60 71 1
60 72 1
60 77 1
60 78 1
60 79 1
60 80 1
60 82 1
60 83 1
60 149 1
61 73 1
61 74 1
61 77 1
61 78 1
61 79 1
61 80 1
61 81 1
61 83 1
61 149 1
62 75 1
62 76 1
62 77 1
62 78 1
62 79 1
62 80 1
62 81 1
62 82 1
62 149 1
63 85 1
63 87 1
63 150 1
64 84 1
64 86 1
64 150 1
65 85 1
65 89 1
65 99 1
65 150 1
66 84 1
66 88 1
66 99 1
66 150 1
67 87 1
67 91 1
67 100 1
67 150 1
68 86 1
68 90 1
68 100 1
68 150 1
69 89 1
69 93 1
69 101 1
69 150 1
70 88 1
70 92 1
70 101 1
70 150 1
71 91 1
71 95 1
71 102 1
71 150 1
72 90 1
72 94 1
72 102 1
72 150 1
73 93 1
73 97 1
73 103 1
73 150 1
74 92 1
74 96 1
74 103 1
74 150 1
75 95 1
75 98 1
75 104 1
75 150 1
76 94 1
76 98 1
76 104 1
76 150 1
77 96 1
77 97 1
77 99 1
77 100 1
77 101 1
77 102 1
77 103 1
77 104 1
77 150 1
78 86 1
78 87 1
78 98 1
78 100 1
78 101 1
78 102 1
78 103 1
78 104 1
78 150 1
79 88 1
79 89 1
79 98 1
79 99 1
79 101 1
79 102 1
79 103 1
79 104 1
79 150 1
80 90 1
80 91 1
80 98 1
80 99 1
80 100 1
80 102 1
80 103 1
80 104 1
80 150 1
81 92 1
81 93 1
81 98 1
81 99 1
81 100 1
81 101 1
81 103 1
81 104 1
81 150 1
82 94 1
82 95 1
82 98 1
82 99 1
82 100 1
82 101 1
82 102 1
82 104 1
82 150 1
83 96 1
83 97 1
83 98 1
83 99 1
83 100 1
83 101 1
83 102 1
83 103 1
83 150 1
84 106 1
84 108 1
84 151 1
85 105 1
85 107 1
85 151 1
86 106 1
86 110 1
86 120 1
86 151 1
87 105 1
87 109 1
87 120 1
87 151 1
88 108 1
88 112 1
88 121 1
88 151 1
89 107 1
89 111 1
89 121 1
89 151 1
90 110 1
90 114 1
90 122 1
90 151 1
91 109 1
91 113 1
91 122 1
91 151 1
92 112 1
92 116 1
92 123 1
92 151 1
93 111 1
93 115 1
93 123 1
93 151 1
94 114 1
94 118 1
94 124 1
94 151 1
95 113 1
95 117 1
95 124 1
95 151 1
96 116 1
96 119 1
96 125 1
96 151 1
97 115 1
97 119 1
97 125 1
97 151 1
98 117 1
98 118 1
98 120 1
98 121 1
98 122 1
98 123 1
98 124 1
98 125 1
98 151 1
99 107 1
99 108 1
99 119 1
99 121 1
99 122 1
99 123 1
99 124 1
99 125 1
99 151 1
100 109 1
100 110 1
100 119 1
100 120 1
100 122 1
100 123 1
100 124 1
100 125 1
100 151 1
101 111 1
101 112 1
101 119 1
101 120 1
101 121 1
101 123 1
101 124 1
101 125 1
101 151 1
102 113 1
102 114 1
102 119 1
102 120 1
102 121 1
102 122 1
102 124 1
102 125 1
102 151 1
103 115 1
103 116 1
103 119 1
103 120 1
103 121 1
103 122 1
103 123 1
103 125 1
103 151 1
104 117 1
104 118 1
104 119 1
104 120 1
104 121 1
104 122 1
104 123 1
104 124 1
104 151 1
105 127 1
105 129 1
105 152 1
106 126 1
106 128 1
106 152 1
107 127 1
107 131 1
107 141 1
107 152 1
108 126 1
108 130 1
108 141 1
108 152 1
109 129 1
109 133 1
109 142 1
109 152 1
110 128 1
110 132 1
110 142 1
110 152 1
111 131 1
111 135 1
111 143 1
111 152 1
112 130 1
112 134 1
112 143 1
112 152 1
113 133 1
113 137 1
113 144 1
113 152 1
114 132 1
114 136 1
114 144 1
114 152 1
115 135 1
115 139 1
115 145 1
115 152 1
116 134 1
116 138 1
116 145 1
116 152 1
117 137 1
117 140 1
117 146 1
117 152 1
118 136 1
118 140 1
118 146 1
118 152 1
119 138 1
119 139 1
119 141 1
119 142 1
119 143 1
119 144 1
119 145 1
119 146 1
119 152 1
120 128 1
120 129 1
120 140 1
120 142 1
120 143 1
120 144 1
120 145 1
120 146 1
120 152 1
121 130 1
121 131 1
121 140 1
121 141 1
121 143 1
121 144 1
121 145 1
121 146 1
121 152 1
122 132 1
122 133 1
122 140 1
122 141 1
122 142 1
122 144 1
122 145 1
122 146 1
122 152 1
123 134 1
123 135 1
123 140 1
123 141 1
123 142 1
123 143 1
123 145 1
123 146 1
123 152 1
124 136 1
124 137 1
124 140 1
124 141 1
124 142 1
