data;
param V := 225;
param E := 
0 16 1
0 32 1
0 48 1
0 64 1
0 80 1
0 96 1
0 112 1
0 128 1
0 144 1
0 160 1
0 176 1
0 192 1
0 208 1
0 224 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 1
0 15 1
0 30 1
0 45 1
0 60 1
0 75 1
0 90 1
0 105 1
0 120 1
0 135 1
0 150 1
0 165 1
0 180 1
0 195 1
0 210 1
1 17 1
1 33 1
1 49 1
1 65 1
1 81 1
1 97 1
1 113 1
1 129 1
1 145 1
1 161 1
1 177 1
1 193 1
1 209 1
1 15 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 16 1
1 31 1
1 46 1
1 61 1
1 76 1
1 91 1
1 106 1
1 121 1
1 136 1
1 151 1
1 166 1
1 181 1
1 196 1
1 211 1
1 0 1
2 18 1
2 34 1
2 50 1
2 66 1
2 82 1
2 98 1
2 114 1
2 130 1
2 146 1
2 162 1
2 178 1
2 194 1
2 16 1
2 30 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 17 1
2 32 1
2 47 1
2 62 1
2 77 1
2 92 1
2 107 1
2 122 1
2 137 1
2 152 1
2 167 1
2 182 1
2 197 1
2 212 1
2 1 1
2 0 1
3 19 1
3 35 1
3 51 1
3 67 1
3 83 1
3 99 1
3 115 1
3 131 1
3 147 1
3 163 1
3 179 1
3 17 1
3 31 1
3 45 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 18 1
3 33 1
3 48 1
3 63 1
3 78 1
3 93 1
3 108 1
3 123 1
3 138 1
3 153 1
3 168 1
3 183 1
3 198 1
3 213 1
3 2 1
3 1 1
3 0 1
4 20 1
4 36 1
4 52 1
4 68 1
4 84 1
4 100 1
4 116 1
4 132 1
4 148 1
4 164 1
4 18 1
4 32 1
4 46 1
4 60 1
4 5 1
4 6 1
4 7 1
