data;
param V := 144;
param E := 
0 13 1
0 26 1
0 39 1
0 52 1
0 65 1
0 78 1
0 91 1
0 104 1
0 117 1
0 130 1
0 143 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 24 1
0 36 1
0 48 1
0 60 1
0 72 1
0 84 1
0 96 1
0 108 1
0 120 1
0 132 1
1 14 1
1 27 1
1 40 1
1 53 1
1 66 1
1 79 1
1 92 1
1 105 1
1 118 1
1 131 1
1 12 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 13 1
1 25 1
1 37 1
1 49 1
1 61 1
1 73 1
1 85 1
1 97 1
1 109 1
1 121 1
1 133 1
1 0 1
2 15 1
2 28 1
2 41 1
2 54 1
2 67 1
2 80 1
2 93 1
2 106 1
2 119 1
2 13 1
2 24 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 14 1
2 26 1
2 38 1
2 50 1
2 62 1
2 74 1
2 86 1
2 98 1
2 110 1
2 122 1
2 134 1
2 1 1
2 0 1
3 16 1
3 29 1
3 42 1
3 55 1
3 68 1
3 81 1
3 94 1
3 107 1
3 14 1
3 25 1
3 36 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 15 1
3 27 1
3 39 1
3 51 1
3 63 1
3 75 1
3 87 1
3 99 1
3 111 1
3 123 1
3 135 1
3 2 1
3 1 1
3 0 1
4 17 1
4 30 1
4 43 1
4 56 1
4 69 1
4 82 1
4 95 1
4 15 1
4 26 1
4 37 1
4 48 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 16 1
4 28 1
4 40 1
4 52 1
4 64 1
4 76 1
4 88 1
4 100 1
4 112 1
4 124 1
4 136 1
4 3 1
4 2 1
4 1 1
4 0 1
5 18 1
5 31 1
5 44 1
5 57 1
5 70 1
5 83 1
5 16 1
5 27 1
5 38 1
5 49 1
5 60 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 17 1
5 29 1
5 41 1
5 53 1
5 65 1
5 77 1
5 89 1
5 101 1
5 113 1
5 125 1
5 137 1
5 4 1
5 3 1
5 2 1
5 1 1
5 0 1
6 19 1
6 32 1
6 45 1
6 58 1
6 71 1
6 17 1
6 28 1
6 39 1
6 50 1
6 61 1
6 72 1
6 7 1
6 8 1
6 9 1
6 10 1
6 11 1
6 18 1
6 30 1
6 42 1
6 54 1
6 66 1
6 78 1
6 90 1
6 102 1
6 114 1
6 126 1
6 138 1
6 5 1
6 4 1
6 3 1
6 2 1
6 1 1
6 0 1
7 20 1
7 33 1
7 46 1
7 59 1
7 18 1
7 29 1
7 40 1
7 51 1
7 62 1
7 73 1
7 84 1
7 8 1
7 9 1
7 10 1
7 11 1
7 19 1
7 31 1
7 43 1
7 55 1
7 67 1
7 79 1
7 91 1
7 103 1
7 115 1
7 127 1
7 139 1
7 6 1
7 5 1
7 4 1
7 3 1
7 2 1
7 1 1
7 0 1
8 21 1
8 34 1
8 47 1
8 19 1
8 30 1
8 41 1
8 52 1
8 63 1
8 74 1
8 85 1
8 96 1
8 9 1
8 10 1
8 11 1
8 20 1
8 32 1
8 44 1
8 56 1
8 68 1
8 80 1
8 92 1
8 104 1
8 116 1
8 128 1
8 140 1
8 7 1
8 6 1
8 5 1
8 4 1
8 3 1
8 2 1
8 1 1
8 0 1
9 22 1
9 35 1
9 20 1
9 31 1
9 42 1
9 53 1
9 64 1
9 75 1
9 86 1
9 97 1
9 108 1
9 10 1
9 11 1
9 21 1
9 33 1
9 45 1
9 57 1
9 69 1
9 81 1
9 93 1
9 105 1
9 117 1
9 129 1
9 141 1
9 8 1
9 7 1
9 6 1
9 5 1
9 4 1
9 3 1
9 2 1
9 1 1
9 0 1
10 23 1
10 21 1
10 32 1
10 43 1
10 54 1
10 65 1
10 76 1
10 87 1
10 98 1
10 109 1
10 120 1
10 11 1
10 22 1
10 34 1
10 46 1
10 58 1
10 70 1
10 82 1
10 94 1
10 106 1
10 118 1
10 130 1
10 142 1
10 9 1
10 8 1
10 7 1
10 6 1
10 5 1
10 4 1
10 3 1
10 2 1
10 1 1
10 0 1
11 22 1
11 33 1
11 44 1
11 55 1
11 66 1
11 77 1
11 88 1
11 99 1
11 110 1
11 121 1
11 132 1
11 23 1
11 35 1
11 47 1
11 59 1
11 71 1
11 83 1
11 95 1
11 107 1
11 119 1
11 131 1
11 143 1
11 10 1
11 9 1
11 8 1
11 7 1
11 6 1
11 5 1
11 4 1
11 3 1
11 2 1
11 1 1
11 0 1
12 25 1
12 38 1
12 51 1
12 64 1
12 77 1
