data;
param V := 81;
param E := 
0 10 1
0 20 1
0 30 1
0 40 1
0 50 1
0 60 1
0 70 1
0 80 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 18 1
0 27 1
0 36 1
0 45 1
0 54 1
0 63 1
0 72 1
1 11 1
1 21 1
1 31 1
1 41 1
1 51 1
1 61 1
1 71 1
1 9 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 10 1
1 19 1
1 28 1
1 37 1
1 46 1
1 55 1
1 64 1
1 73 1
1 0 1
2 12 1
2 22 1
2 32 1
2 42 1
2 52 1
2 62 1
2 10 1
2 18 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 11 1
2 20 1
2 29 1
2 38 1
2 47 1
2 56 1
2 65 1
2 74 1
2 1 1
2 0 1
3 13 1
3 23 1
3 33 1
3 43 1
3 53 1
3 11 1
3 19 1
3 27 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 12 1
3 21 1
3 30 1
3 39 1
3 48 1
3 57 1
3 66 1
3 75 1
3 2 1
3 1 1
3 0 1
4 14 1
4 24 1
4 34 1
4 44 1
4 12 1
4 20 1
4 28 1
4 36 1
4 5 1
4 6 1
4 7 1
4 8 1
4 13 1
4 22 1
4 31 1
4 40 1
4 49 1
4 58 1
4 67 1
4 76 1
4 3 1
4 2 1
4 1 1
4 0 1
5 15 1
5 25 1
5 35 1
5 13 1
5 21 1
5 29 1
5 37 1
5 45 1
5 6 1
5 7 1
5 8 1
5 14 1
5 23 1
5 32 1
5 41 1
5 50 1
5 59 1
5 68 1
5 77 1
5 4 1
5 3 1
5 2 1
5 1 1
5 0 1
6 16 1
6 26 1
6 14 1
6 22 1
6 30 1
6 38 1
6 46 1
6 54 1
6 7 1
6 8 1
6 15 1
6 24 1
6 33 1
6 42 1
6 51 1
6 60 1
6 69 1
6 78 1
6 5 1
6 4 1
6 3 1
6 2 1
6 1 1
6 0 1
7 17 1
7 15 1
7 23 1
7 31 1
7 39 1
7 47 1
7 55 1
7 63 1
7 8 1
7 16 1
7 25 1
7 34 1
7 43 1
7 52 1
7 61 1
7 70 1
7 79 1
7 6 1
7 5 1
7 4 1
7 3 1
7 2 1
7 1 1
7 0 1
8 16 1
8 24 1
8 32 1
8 40 1
8 48 1
8 56 1
8 64 1
8 72 1
8 17 1
