data;
param V := 52;
param E := 
0 1 1
0 3 1
0 13 1
0 15 1
1 2 1
1 12 1
1 14 1
2 5 1
2 9 1
2 13 1
2 17 1
2 21 1
3 4 1
3 9 1
3 12 1
3 16 1
3 21 1
4 7 1
4 10 1
4 15 1
4 19 1
4 22 1
5 6 1
5 10 1
5 14 1
5 18 1
5 22 1
6 8 1
6 11 1
6 17 1
6 20 1
6 23 1
7 8 1
7 11 1
7 16 1
7 20 1
7 23 1
8 9 1
8 10 1
8 11 1
8 18 1
8 19 1
8 21 1
8 22 1
8 23 1
9 10 1
9 11 1
9 14 1
9 15 1
9 20 1
9 22 1
9 23 1
10 11 1
10 16 1
10 17 1
10 20 1
10 21 1
10 23 1
11 18 1
11 19 1
11 20 1
11 21 1
11 22 1
12 25 1
12 27 1
12 49 1
13 24 1
13 26 1
13 49 1
14 25 1
14 29 1
14 33 1
14 49 1
15 24 1
15 28 1
15 33 1
15 49 1
16 27 1
16 31 1
16 34 1
16 49 1
17 26 1
17 30 1
17 34 1
17 49 1
18 29 1
18 32 1
18 35 1
18 49 1
19 28 1
19 32 1
19 35 1
19 49 1
20 30 1
20 31 1
20 33 1
20 34 1
20 35 1
20 49 1
21 26 1
21 27 1
21 32 1
21 34 1
21 35 1
21 49 1
22 28 1
22 29 1
22 32 1
22 33 1
22 35 1
22 49 1
23 30 1
23 31 1
23 32 1
23 33 1
23 34 1
23 49 1
24 37 1
24 39 1
24 50 1
25 36 1
25 38 1
25 50 1
26 37 1
26 41 1
26 45 1
26 50 1
27 36 1
27 40 1
27 45 1
27 50 1
28 39 1
28 43 1
28 46 1
28 50 1
29 38 1
29 42 1
29 46 1
29 50 1
30 41 1
30 44 1
30 47 1
30 50 1
31 40 1
31 44 1
31 47 1
31 50 1
32 42 1
32 43 1
32 45 1
32 46 1
32 47 1
32 50 1
33 38 1
33 39 1
33 44 1
33 46 1
33 47 1
33 50 1
34 40 1
34 41 1
34 44 1
34 45 1
34 47 1
34 50 1
35 42 1
35 43 1
35 44 1
35 45 1
35 46 1
35 50 1
36 48 1
36 51 1
37 48 1
37 51 1
38 48 1
38 51 1
39 48 1
39 51 1
40 48 1
40 51 1
41 48 1
41 51 1
42 48 1
42 51 1
43 48 1
43 51 1
44 48 1
44 51 1
45 48 1
45 51 1
46 48 1
46 51 1
47 48 1
47 51 1
48 49 1
48 50 1
48 51 1
49 50 1
49 51 1
50 51 1
;
end;
