data;
param V := 256;
param E := 
0 17 1
0 34 1
0 51 1
0 68 1
0 85 1
0 102 1
0 119 1
0 136 1
0 153 1
0 170 1
0 187 1
0 204 1
0 221 1
0 238 1
0 255 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 1
0 15 1
0 16 1
0 32 1
0 48 1
0 64 1
0 80 1
0 96 1
0 112 1
0 128 1
0 144 1
0 160 1
0 176 1
0 192 1
0 208 1
0 224 1
0 240 1
1 18 1
1 35 1
1 52 1
1 69 1
1 86 1
1 103 1
1 120 1
1 137 1
1 154 1
1 171 1
1 188 1
1 205 1
1 222 1
1 239 1
1 16 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 17 1
1 33 1
1 49 1
1 65 1
1 81 1
1 97 1
1 113 1
1 129 1
1 145 1
1 161 1
1 177 1
1 193 1
1 209 1
1 225 1
1 241 1
1 0 1
2 19 1
2 36 1
2 53 1
2 70 1
2 87 1
2 104 1
2 121 1
2 138 1
2 155 1
2 172 1
2 189 1
2 206 1
2 223 1
2 17 1
2 32 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 18 1
2 34 1
2 50 1
2 66 1
2 82 1
2 98 1
2 114 1
2 130 1
2 146 1
2 162 1
2 178 1
2 194 1
2 210 1
2 226 1
2 242 1
2 1 1
2 0 1
3 20 1
3 37 1
3 54 1
3 71 1
3 88 1
3 105 1
3 122 1
3 139 1
3 156 1
3 173 1
3 190 1
3 207 1
3 18 1
3 33 1
3 48 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 19 1
3 35 1
3 51 1
3 67 1
3 83 1
3 99 1
3 115 1
3 131 1
3 147 1
3 163 1
3 179 1
3 195 1
3 211 1
3 227 1
3 243 1
3 2 1
3 1 1
3 0 1
4 21 1
4 38 1
4 55 1
4 72 1
4 89 1
4 106 1
4 123 1
4 140 1
4 157 1
4 174 1
4 191 1
4 19 1
4 34 1
4 49 1
4 64 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 20 1
4 36 1
4 52 1
4 68 1
4 84 1
4 100 1
4 116 1
4 132 1
4 148 1
4 164 1
4 180 1
4 196 1
4 212 1
4 228 1
4 244 1
4 3 1
4 2 1
4 1 1
4 0 1
5 22 1
5 39 1
5 56 1
5 73 1
5 90 1
5 107 1
5 124 1
5 141 1
5 158 1
5 175 1
5 20 1
5 35 1
5 50 1
5 65 1
5 80 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
5 13 1
5 14 1
5 15 1
5 21 1
5 37 1
5 53 1
5 69 1
5 85 1
5 101 1
5 117 1
5 133 1
5 149 1
5 165 1
5 181 1
5 197 1
5 213 1
5 229 1
5 245 1
5 4 1
5 3 1
5 2 1
5 1 1
5 0 1
6 23 1
6 40 1
6 57 1
6 74 1
6 91 1
6 108 1
6 125 1
6 142 1
6 159 1
6 21 1
6 36 1
6 51 1
6 66 1
6 81 1
6 96 1
6 7 1
6 8 1
6 9 1
6 10 1
6 11 1
6 12 1
6 13 1
6 14 1
6 15 1
6 22 1
6 38 1
6 54 1
6 70 1
6 86 1
6 102 1
6 118 1
6 134 1
6 150 1
6 166 1
6 182 1
6 198 1
6 214 1
6 230 1
6 246 1
6 5 1
6 4 1
6 3 1
6 2 1
6 1 1
6 0 1
7 24 1
7 41 1
7 58 1
7 75 1
7 92 1
7 109 1
7 126 1
7 143 1
7 22 1
7 37 1
7 52 1
7 67 1
7 82 1
7 97 1
7 112 1
7 8 1
7 9 1
7 10 1
7 11 1
7 12 1
7 13 1
7 14 1
7 15 1
7 23 1
7 39 1
7 55 1
7 71 1
7 87 1
7 103 1
7 119 1
7 135 1
7 151 1
7 167 1
7 183 1
7 199 1
7 215 1
7 231 1
7 247 1
7 6 1
7 5 1
7 4 1
7 3 1
7 2 1
7 1 1
7 0 1
8 25 1
8 42 1
8 59 1
