data;
param V := 196;
param E := 
0 15 1
0 30 1
0 45 1
0 60 1
0 75 1
0 90 1
0 105 1
0 120 1
0 135 1
0 150 1
0 165 1
0 180 1
0 195 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 1
0 28 1
0 42 1
0 56 1
0 70 1
0 84 1
0 98 1
0 112 1
0 126 1
0 140 1
0 154 1
0 168 1
0 182 1
1 16 1
1 31 1
1 46 1
1 61 1
1 76 1
1 91 1
1 106 1
1 121 1
1 136 1
1 151 1
1 166 1
1 181 1
1 14 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 15 1
1 29 1
1 43 1
1 57 1
1 71 1
1 85 1
1 99 1
1 113 1
1 127 1
1 141 1
1 155 1
1 169 1
1 183 1
1 0 1
2 17 1
2 32 1
2 47 1
2 62 1
2 77 1
2 92 1
2 107 1
2 122 1
2 137 1
2 152 1
2 167 1
2 15 1
2 28 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 16 1
2 30 1
2 44 1
2 58 1
2 72 1
2 86 1
2 100 1
2 114 1
2 128 1
2 142 1
2 156 1
2 170 1
2 184 1
2 1 1
2 0 1
3 18 1
3 33 1
3 48 1
3 63 1
3 78 1
3 93 1
3 108 1
3 123 1
3 138 1
3 153 1
3 16 1
3 29 1
3 42 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 17 1
3 31 1
3 45 1
3 59 1
3 73 1
3 87 1
3 101 1
3 115 1
3 129 1
3 143 1
3 157 1
3 171 1
3 185 1
3 2 1
3 1 1
3 0 1
4 19 1
4 34 1
4 49 1
4 64 1
4 79 1
4 94 1
4 109 1
4 124 1
4 139 1
4 17 1
4 30 1
4 43 1
4 56 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 18 1
4 32 1
4 46 1
4 60 1
4 74 1
4 88 1
4 102 1
4 116 1
4 130 1
4 144 1
4 158 1
4 172 1
4 186 1
4 3 1
4 2 1
4 1 1
4 0 1
5 20 1
5 35 1
5 50 1
5 65 1
5 80 1
5 95 1
5 110 1
5 125 1
5 18 1
5 31 1
5 44 1
5 57 1
5 70 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
5 13 1
5 19 1
5 33 1
5 47 1
